
//ウェーブ１--------------------------
//敵生成(↑と↓)
POP 640 -100 3
POP 640 820 3

//待つ(フレーム)----
WAIT 300

//敵生成(←と→)
POP -100 320 3
POP 1380 320 3

//待つ(フレーム)----
WAIT 300

//ウェーブ２--------------------------
//敵生成(←↑と→↓)
POP 0 0 3
POP 1280 720 3

//待つ(フレーム)----
WAIT 300

//敵生成(←↓と→↑)
POP 0 720 3
POP 1280 0 3

//待つ(フレーム)----
WAIT 300

//ウェーブ３--------------------------
//敵生成(↑)
POP 620 0 1
POP 640 0 1
POP 660 0 1
//(↓)
POP 620 720 1
POP 640 720 1
POP 660 720 1

//待つ(フレーム)----
WAIT 300

//敵生成(←)
POP 0 340 1
POP 0 360 1
POP 0 380 1
//(→)
POP 1280 340 1
POP 1280 360 1
POP 1280 380 1

//待つ(フレーム)----
WAIT 300

//ウェーブ４--------------------------
//敵生成(←と↑と→と↓)
POP 0 360 2
POP 640 0 2
POP 1280 360 2
POP 620 720 2

//待つ(フレーム)----
WAIT 300

//敵生成(←↑と→↑と→↓と←↓)
POP 0 0 2
POP 1280 0 2
POP 1280 720 2
POP 0 720 2

//待つ(フレーム)----
WAIT 300

//ウェーブ５--------------------------
//敵生成(←)
POP 0 320 1
POP 0 340 1
POP 0 360 1
POP 0 380 1
POP 0 400 1

//敵生成（↑）
POP 580 0 1
POP 600 0 1
POP 620 0 1
POP 640 0 1
POP 660 0 1
POP 680 0 1
POP 700 0 1

//敵生成（→）
POP 1280 320 1
POP 1280 340 1
POP 1280 360 1
POP 1280 380 1
POP 1280 400 1

//敵生成（↓）
POP 580 720 1
POP 600 720 1
POP 620 720 1
POP 640 720 1
POP 660 720 1
POP 680 720 1
POP 700 720 1

//待つ(フレーム)----
WAIT 300

//敵生成(適当)
POP 640 360 8

//待つ(フレーム)----
WAIT 300

//ウェーブ６--------------------------
//敵生成(←↑)
POP 0 0 5

//敵生成（←↓）
POP 0 720 5

//待つ(フレーム)----
WAIT 300

//敵生成(→↑)
POP 1280 0 5

//敵生成（→↓）
POP 1280 720 5

//待つ(フレーム)----
WAIT 300

//ループ
LOOP
